ID,site ,Abundance ,Species ,Kelp?,Distance from kelp,Zoo_Phyto,Group,depth,coverage
1A,A,13,CB,yes,0,phytoplankton,diatom,3.4,high
1A,A,1,Space,yes,0,phytoplankton,dinoflagellete,3.4,high
1A,A,2,spike,yes,0,phytoplankton,diatom ,3.4,high
1A,A,6,pouch,yes,0,phytoplankton,dinoflagellete,3.4,high
1A,A,2,star,yes,0,phytoplankton,diatom,3.4,high
1A,A,1,2ball,yes,0,phytoplankton,diatom,3.4,high
1A,A,0,ladder,yes,0,phytoplankton,diatom ,3.4,high
1A,A,0,fluffy,yes,0,phytoplankton,misc,3.4,high
1A,A,0,ex,yes,0,phytoplankton,misc,3.4,high
1A,A,5,copopod,yes,0,zooplankton,,3.4,high
1A,A,0,naupilis ,yes,0,zooplankton,,3.4,high
1A,A,1,foramifera,yes,0,zooplankton,,3.4,high
1A,A,0,sally,yes,0,zooplankton,,3.4,high
2A,A,7,CB,yes,0,phytoplankton,diatom,4.5,high
2A,A,2,Space,yes,0,phytoplankton,dinoflagellete,4.5,high
2A,A,4,spike,yes,0,phytoplankton,diatom ,4.5,high
2A,A,7,pouch,yes,0,phytoplankton,dinoflagellete,4.5,high
2A,A,0,star,yes,0,phytoplankton,diatom,4.5,high
2A,A,0,2ball,yes,0,phytoplankton,diatom,4.5,high
2A,A,1,ladder,yes,0,phytoplankton,diatom ,4.5,high
2A,A,0,fluffy,yes,0,phytoplankton,misc,4.5,high
2A,A,0,ex,yes,0,phytoplankton,misc,4.5,high
2A,A,5,copopod,yes,0,zooplankton,,4.5,high
2A,A,3,naupilis ,yes,0,zooplankton,,4.5,high
2A,A,0,foramifera,yes,0,zooplankton,,4.5,high
2A,A,0,sally,yes,0,zooplankton,,4.5,high
3A,A,16,CB,yes,0,phytoplankton,diatom,6.5,high
3A,A,2,Space,yes,0,phytoplankton,dinoflagellete,6.5,high
3A,A,5,spike,yes,0,phytoplankton,diatom ,6.5,high
3A,A,4,pouch,yes,0,phytoplankton,dinoflagellete,6.5,high
3A,A,4,star,yes,0,phytoplankton,diatom,6.5,high
3A,A,0,2ball,yes,0,phytoplankton,diatom,6.5,high
3A,A,1,ladder,yes,0,phytoplankton,diatom ,6.5,high
3A,A,0,fluffy,yes,0,phytoplankton,misc,6.5,high
3A,A,0,ex,yes,0,phytoplankton,misc,6.5,high
3A,A,12,copopod,yes,0,zooplankton,,6.5,high
3A,A,4,naupilis ,yes,0,zooplankton,,6.5,high
3A,A,2,foramifera,yes,0,zooplankton,,6.5,high
3A,A,0,sally,yes,0,zooplankton,,6.5,high
4A,A,7,CB,yes,0,phytoplankton,diatom,5.5,high
4A,A,0,Space,yes,0,phytoplankton,dinoflagellete,5.5,high
4A,A,3,spike,yes,0,phytoplankton,diatom ,5.5,high
4A,A,3,pouch,yes,0,phytoplankton,dinoflagellete,5.5,high
4A,A,0,star,yes,0,phytoplankton,diatom,5.5,high
4A,A,0,2ball,yes,0,phytoplankton,diatom,5.5,high
4A,A,0,ladder,yes,0,phytoplankton,diatom ,5.5,high
4A,A,0,fluffy,yes,0,phytoplankton,misc,5.5,high
4A,A,0,ex,yes,0,phytoplankton,misc,5.5,high
4A,A,2,copopod,yes,0,zooplankton,,5.5,high
4A,A,0,naupilis ,yes,0,zooplankton,,5.5,high
4A,A,0,foramifera,yes,0,zooplankton,,5.5,high
4A,A,0,sally,yes,0,zooplankton,,5.5,high
5A,A,15,CB,yes,0,phytoplankton,diatom,6.5,high
5A,A,3,Space,yes,0,phytoplankton,dinoflagellete,6.5,high
5A,A,4,spike,yes,0,phytoplankton,diatom ,6.5,high
5A,A,7,pouch,yes,0,phytoplankton,dinoflagellete,6.5,high
5A,A,1,star,yes,0,phytoplankton,diatom,6.5,high
5A,A,1,2ball,yes,0,phytoplankton,diatom,6.5,high
5A,A,1,ladder,yes,0,phytoplankton,diatom ,6.5,high
5A,A,1,fluffy,yes,0,phytoplankton,misc,6.5,high
5A,A,1,ex,yes,0,phytoplankton,misc,6.5,high
5A,A,6,copopod,yes,0,zooplankton,,6.5,high
5A,A,2,naupilis ,yes,0,zooplankton,,6.5,high
5A,A,0,foramifera,yes,0,zooplankton,,6.5,high
5A,A,0,sally,yes,0,zooplankton,,6.5,high
6A,A,25,CB,yes,0,phytoplankton,diatom,5.8,high
6A,A,4,Space,yes,0,phytoplankton,dinoflagellete,5.8,high
6A,A,5,spike,yes,0,phytoplankton,diatom ,5.8,high
6A,A,14,pouch,yes,0,phytoplankton,dinoflagellete,5.8,high
6A,A,0,star,yes,0,phytoplankton,diatom,5.8,high
6A,A,0,2ball,yes,0,phytoplankton,diatom,5.8,high
6A,A,0,ladder,yes,0,phytoplankton,diatom ,5.8,high
6A,A,0,fluffy,yes,0,phytoplankton,misc,5.8,high
6A,A,1,ex,yes,0,phytoplankton,misc,5.8,high
6A,A,24,copopod,yes,0,zooplankton,,5.8,high
6A,A,7,naupilis ,yes,0,zooplankton,,5.8,high
6A,A,0,foramifera,yes,0,zooplankton,,5.8,high
6A,A,1,sally,yes,0,zooplankton,,5.8,high
7A,A,28,CB,yes,0,phytoplankton,diatom,5,high
7A,A,12,Space,yes,0,phytoplankton,dinoflagellete,5,high
7A,A,18,spike,yes,0,phytoplankton,diatom ,5,high
7A,A,20,pouch,yes,0,phytoplankton,dinoflagellete,5,high
7A,A,1,star,yes,0,phytoplankton,diatom,5,high
7A,A,1,2ball,yes,0,phytoplankton,diatom,5,high
7A,A,1,ladder,yes,0,phytoplankton,diatom ,5,high
7A,A,0,fluffy,yes,0,phytoplankton,misc,5,high
7A,A,0,ex,yes,0,phytoplankton,misc,5,high
7A,A,56,copopod,yes,0,zooplankton,,5,high
7A,A,12,naupilis ,yes,0,zooplankton,,5,high
7A,A,1,foramifera,yes,0,zooplankton,,5,high
7A,A,5,sally,yes,0,zooplankton,,5,high
8A,A,4,CB,yes,0,phytoplankton,diatom,4,high
8A,A,1,Space,yes,0,phytoplankton,dinoflagellete,4,high
8A,A,5,spike,yes,0,phytoplankton,diatom ,4,high
8A,A,4,pouch,yes,0,phytoplankton,dinoflagellete,4,high
8A,A,0,star,yes,0,phytoplankton,diatom,4,high
8A,A,0,2ball,yes,0,phytoplankton,diatom,4,high
8A,A,0,ladder,yes,0,phytoplankton,diatom ,4,high
8A,A,0,fluffy,yes,0,phytoplankton,misc,4,high
8A,A,0,ex,yes,0,phytoplankton,misc,4,high
8A,A,18,copopod,yes,0,zooplankton,,4,high
8A,A,0,naupilis ,yes,0,zooplankton,,4,high
8A,A,1,foramifera,yes,0,zooplankton,,4,high
8A,A,0,sally,yes,0,zooplankton,,4,high
9A,A,18,CB,no,20,phytoplankton,diatom,4.3,medium
9A,A,7,Space,no,20,phytoplankton,dinoflagellete,4.3,medium
9A,A,5,spike,no,20,phytoplankton,diatom ,4.3,medium
9A,A,8,pouch,no,20,phytoplankton,dinoflagellete,4.3,medium
9A,A,0,star,no,20,phytoplankton,diatom,4.3,medium
9A,A,0,2ball,no,20,phytoplankton,diatom,4.3,medium
9A,A,1,ladder,no,20,phytoplankton,diatom ,4.3,medium
9A,A,0,fluffy,no,20,phytoplankton,misc,4.3,medium
9A,A,0,ex,no,20,phytoplankton,misc,4.3,medium
9A,A,49,copopod,no,20,zooplankton,,4.3,medium
9A,A,23,naupilis ,no,20,zooplankton,,4.3,medium
9A,A,2,foramifera,no,20,zooplankton,,4.3,medium
9A,A,3,sally,no,20,zooplankton,,4.3,medium
10A,A,12,CB,no,20,phytoplankton,diatom,4.9,medium
10A,A,3,Space,no,20,phytoplankton,dinoflagellete,4.9,medium
